SUPERSTAR,ALIGNMENT,BRAND,SEX,ROLE,MANAGER,TAGTEAM,FACTION,CHAMPIONSHIP,ACCOLADES,WINS,LOSSES,DRAWS
AJ Styles,Face,Red,M,MainEvent,,,,,,,,
Akira Tozawa,,Inactive,M,,,,,,,,,
Alba Fyre,,Gold,F,Jobber,,,,,,,,
Alexa Bliss,Heel,Red,F,MainEvent,,,,,,,,
Aliyah,,,F,,,,,,,,,
André the Giant,,Retired,M,,,,,,,,,
Angel,,Inactive,M,,,,,,,,,
Angelo Dawkins,Face,Red,M,MidCard,,Street Profits,,,,,,
Apollo Crews,Heel,Blue,M,MidCard,,,,,,,,
Asuka,Face,Red,F,MainEvent,,,,,,,,
Austin Theory,,Inactive,M,,,,,,,,,
Axiom,Face,Gold,M,MidCard,,,,,,,,
Batista,,Retired,M,,,,,,,,,
Bayley,Heel,Red,F,MainEvent,,,Damage CTRL,,,,,
Becky Lynch,Heel,Red,F,MainEvent,,,,,,,,
Beth Phoenix,,,F,Legend,,,,,,,,
Bianca Belair,Face,Blue,F,MidCard,,,,,,,,
Big Boss Man,,Retired,M,,,,,,,,,
Big E,Face,Red,M,MidCard,,,New Day,,,,,
Bobby Lashley,Heel,Red,M,UpperMidCard,,,,,,,,
Boogeyman,,Retired,M,,,,,,,,,
Booker T,,Inactive,M,,,,,,,,,
Braun Strowman,,Inactive,M,,,,,,,,,
"Bret ""The Hitman"" Hart",,Retired,M,,,,,,,,,
Brie Bella,,,F,MidCard,,,,,,,,
British Bulldog,,Retired,M,,,,,,,,,
Brock Lesnar,,Inactive,M,,,,,,,,,
Bron Breakker,,Inactive,M,,,,,,,,,
Bruno Sammartino,,Retired,M,,,,,,,,,
Brutus Creed,,Inactive,M,,,,,,,,,
Butch,Heel,Red,M,MidCard,,,The Brawling Brutes,,,,,
Cactus Jack,,Retired,M,,,,,,,,,
Cameron Grimes,,Inactive,M,,,,,,,,,
Carmella,Heel,Blue,F,MidCard,,,,,,,,
Carmelo Hayes,,Inactive,M,,,,,,,,,
Cedric Alexander,,Inactive,M,,,,,,,,,
Chad Gable,Heel,Red,M,MidCard,,,,,,,,
Charlotte Flair,Heel,Red,F,MainEvent,,,,,,,,
Chyna,,Retired,F,,,,,,,,,
Cody Rhodes,Face,Red,M,MainEvent,,,,,,,,
Commander Azeez,,Inactive,M,,,,,,,,,
Cora Jade,Face,Blue,F,Jobber,,,,,,,,
Cruz Del Toro,,Inactive,M,,,,,,,,,
Dakota Kai,Heel,Red,F,UpperMidCard,,,Damage CTRL,,,,,
Christian Cage,Heel,Red,M,MidCard,,,,,,,,
Damian Priest,Heel,Blue,M,MidCard,,,Judgment Day,,,,,
Dana Brooke,,Inactive,F,Lower Card,,,,,,,,
Dexter Lumis,,Blue,M,MidCard,,,,,,,,
Diesel,,Retired,M,,,,,,,,,
Doink the Clown,,Retired,M,,,,,,,,,
Dolph Ziggler,,Inactive,M,,,,,,,,,
Dominik Mysterio,Heel,Red,M,MidCard,,,Judgment Day,,,,,
Doudrop,Face,Red,F,MidCard,,,,,,,,
Drew Gulak,,Inactive,M,,,,,,,,,
Drew McIntyre,Face,Red,M,MainEvent,,,,,,,,
Eddie Guerrero,,Retired,M,,,,,,,,,
Edge,Face,Red,M,Legend,,,,,,,,
Elias,Face,Red,M,MidCard,,,,,,,,
Eric Bischoff,,Inactive,M,,,,,,,,,
Erik,Face,Red,M,MidCard,,The Viking Raiders,,,,,,
Ezekiel,,Inactive,M,,,,,,,,,
Faarooq,,Retired,M,,,,,,,,,
Finn Bálor,Heel,Blue,M,UpperMidCard,,,Judgment Day,,,,,
Gigi Dolin,Face,Red,F,MidCard,,,Toxic Attraction,,,,,
Giovanni Vinci,,Inactive,M,,,,,,,,,
Goldberg,,Retired,M,,,,,,,,,
Grayson Waller,,Inactive,M,,,,,,,,,
GUNTHER,Heel,Red,M,UpperMidCard,,,Imperium,,,,,
Happy Corbin,,Inactive,M,,,,,,,,,
Hollywood Hogan,,Retired,M,,,,,,,,,
Hulk Hogan,,Retired,M,,,,,,,,,
Humberto,,Inactive,M,,,,,,,,,
The Hurricane,Face,Blue,M,Jobber,,,,,,,,
Ilja Dragunov,,Inactive,M,,,,,,,,,
Indi Hartwell,Heel,Blue,F,MidCard,,,,,,,,
IYO SKY,Heel,Red,F,MainEvent,,,Damage CTRL,,,,,
Ivar,Face,Red,M,MidCard,,The Viking Raiders,,,,,,
Jacy Jayne,Heel,Red,F,MidCard,,,Toxic Attraction,,,,,
Jake “The Snake” Roberts,Face,,M,,,,,,,,,
JD McDonagh,,Inactive,M,,,,,,,,,
"Jerry ""The King"" Lawler",,Retired,M,,,,,,,,,
Jey Uso,Heel,Red,M,MainEvent,,The Usos,The Bloodline,,,,,
"Jim ""The Anvil"" Neidhart",,Retired,M,,,,,,,,,
Jimmy Uso,Heel,Red,M,MainEvent,,The Usos,The Bloodline,,,,,
Jinder Mahal,Heel,Blue,M,MidCard,,,,,,,,
Joaquin Wilde,,Inactive,M,,,,,,,,,
JBL,,Retired,M,,,,,,,,,
John Cena,,Inactive,M,,,,,,,,,
Johnny Gargano,,Inactive,M,,,,,,,,,
Julius Creed,,Inactive,M,,,,,,,,,
Kane,,Retired,M,,,,,,,,,
Karrion Kross,Heel,Red,M,MidCard,,,,,,,,
Katana Chance,Face,Blue,F,Jobber,,,,,,,,
Kayden Carter,Face,Blue,F,Jobber,,,,,,,,
Kevin Nash,,Retired,M,,,,,,,,,
Kevin Owens,Face,Red,M,MainEvent,,,,,,,,
Kofi Kingston,Face,Red,M,MidCard,,The New Day,The New Day,,,,,
Kurt Angle,,Retired,M,,,,,,,,,
LA Knight,Face,Blue,M,Jobber,,,,,,,,
Lacey Evans,Heel,Inactive,F,Lower Card,,,,,,,,
Liv Morgan,Face,Red,F,MainEvent,,,,,,,,
Lita,,Retired,F,,,,,,,,,
Logan Paul,,Inactive,M,,,,,,,,,
Ludwig Kaiser,,Inactive,M,,,Imperium,,,,,,
MA.CE,Face,Blue,M,Jobber,,Maximum Male Models,,,,,,
“Macho Man” Randy Savage,,Retired,M,,,,,,,,,
Madcap Moss,,Inactive,M,,,,,,,,,
MAN.SOOR,Face,Blue,M,Jobber,,Maximum Male Models,,,,,,
Matt Riddle,,Inactive,M,,,,,,,,,
Maryse,,Retired,F,Manager,,,,,,,,
Molly Holly,Face,,F,Manager,,,,,,,,
Montez Ford,Face,Blue,M,MidCard,,Street Profits,,,,,,
Mr. McMahon,Heel,,M,Manager,,,,,,,,
Mustafa Ali,Face,Red,M,MidCard,,,,,,,,
MVP,Heel,,M,Manager,,,,,,,,
Natalya,,Inactive,F,,,,,,,,,
Nikki Cross,Face,Red,F,MidCard,,,,,,,,
Nikki Bella,Heel,Red,F,MidCard,,,,,,,,
Nikkita Lyons,,Inactive,F,,,,,,,,,
Noam Dar,,Inactive,M,,,,,,,,,
Omos,Heel,Red,M,MidCard,,,,,,,,
Otis,Face,Blue,M,Jobber,,,,,,,,
Queen Zelina,Heel,Red,F,MidCard,,,,,,,,
Randy Orton,Heel,Red,M,MainEvent,,,,,,,,
Raquel Rodriguez,Heel,Blue,F,MidCard,,,,,,,,
Razor Ramon,,Retired,M,,,,,,,,,
Reggie,,Inactive,M,,,,,,,,,
Rey Mysterio,,Retired,M,,,,,,,,,
Rhea Ripley,Heel,Red,F,MainEvent,,,Judgment Day,,,,,
Rick Boogs,Face,Blue,M,Jobber,,,,,,,,
Ricochet,Face,Red,M,MidCard,,,,,,,,
Ridge Holland,Heel,Red,M,MidCard,,,The Brawling Brutes,,,,,
Rikishi,,Retired,M,,,,,,,,,
Rob Van Dam,Heel,,M,MainEvent,,,,,,,,
Robert Roode,,Inactive,M,,,,,,,,,
Roman Reigns,Heel,Red,M,Legend,,,The Bloodline,,,,,
Ronda Rousey,,Inactive,F,,,,,,,,,
Rowdy Roddy Piper,,Retired,M,,,,,,,,,
Roxanne Perez,Face,Blue,F,Jobber,,,,,,,,
R-Truth,,Inactive,M,,,,,,,,,
Sami Zayn,Face,Red,M,MidCard,,,,,,,,
Santos Escobar,,Inactive,M,,,,,,,,,
Scott Hall,,Retired,M,,,,,,,,,
"Seth ""Freakin"" Rollins",Heel,Red,M,MainEvent,,,,,,,,
Shane McMahon,,Inactive,M,,,,,,,,,
Shanky,,,M,Jobber,,,,,,,,
Shawn Michaels,,Retired,M,,,,,,,,,
Shayna Baszler,Heel,Red,F,UpperMidCard,,,,,,,,
Sheamus,Heel,Red,M,UpperMidCard,,,The Brawling Brutes,,,,,
Shelton Benjamin,,Inactive,M,,,,,,,,,
Shinsuke Nakamura,,Inactive,M,,,,,,,,,
Shotzi,Face,Blue,F,Jobber,,,,,,,,
Solo Sikoa,Heel,Red,M,MidCard,,,The Bloodline,,,,,
Sonya Deville,Heel,Red,F,MidCard,,,,,,,,
Stacy Keibler,,Inactive,F,,,,,,,,,
“Stone Cold” Steve Austin,,Retired,M,,,,,,,,,
Stephanie McMahon,,Inactive,F,,,,,,,,,
Syxx,,Retired,M,,,,,,,,,
Tamina,,Inactive,M,,,,,,,,,
T-BAR,,Inactive,M,,,,,,,,,
Ted DiBiase,,Inactive,M,,,,,,,,,
The Miz,,Inactive,M,,,,,,,,,
The Rock,,Inactive,M,,,,,,,,,
Titus O’Neil,,Inactive,M,,,,,,,,,
Tommaso Ciampa,Heel,Red,M,MidCard,,,,,,,,
Triple H,,Inactive,M,,,,,,,,,
Trish Stratus,,Inactive,F,,,,,,,,,
Tyler Bate,,Inactive,M,,,,,,,,,
Tyler Breeze,Face,Red,M,MidCard,,,Maximum Male Models,,,,,
Ultimate Warrior,,Retired,M,,,,,,,,,
Umaga,,Retired,M,,,,,,,,,
Undertaker,,Retired,M,,,,,,,,,
Vader,,Retired,M,,,,,,,,,
Veer Mahaan,,Inactive,M,,,,,,,,,
Wes Lee,,Inactive,M,,,,,,,,,
Xavier Woods,Face,Red,M,MidCard,,The New Day,The New Day,,,,,
Xia Li,Heel,Blue,M,MidCard,,,,,,,,
X-Pac,,Retired,M,,,,,,,,,
Yokozuna,,Retired,M,,,,,,,,,
Zoey Stark,Face,Blue,F,Jobber,,,,,,,,
Rob Rocker,Heel,Red,M,UpperMidCard,,,,,,,,
Spade,Heel,Red,M,Legend,,,,,,,,
Game Over,Heel,Red,M,UpperMidCard,,,Immortal,,,,,
Crawler,Heel,Red,M,UpperMidCard,,,Immortal,,,,,
Lord,Heel,Red,M,Legend,,,Immortal,,,,,
PM3,Heel,Blue,M,MidCard,,,,,,,,
The Falcon,Face,Red,M,MidCard,,,,,,,,
Renegade,Face,Red,M,MainEvent,,,,,,,,
Penelope Ford,Heel,Red,F,UpperMidCard,,,,,,,,
Kip Sabian,Heel,Red,M,MidCard,,,,,,,,
Kenny Omega,Face,Red,M,Legend,,,The Elite,,,,,
Hangman Adam Page,Face,Red,M,MainEvent,,,,,,,,
Matt Jackson,Face,Red,M,MainEvent,,The Young Bucks,The Elite,,,,,
Nick Jackson,Face,Red,M,MainEvent,,The Young Bucks,The Elite,,,,,
Powerhouse Hobbs,Heel,Red,M,MidCard,,,,,,,,
Hook,Face,Red,M,MidCard,,,,,,,,
Danhausen,Face,Red,M,Fan Favorite,,,Best Friends,,,,,
Mantis,Face,Red,M,MidCard,,,Best Friends,,,,,
The Bunny,Heel,Red,F,MidCard,,,,,,,,
Chuck Taylor*,Face,Red,M,UpperMidCard,,Best Friends,Best Friends,,,,,
Trent Berretta*,Face,Red,M,UpperMidCard,,Best Friends,Best Friends,,,,,
MJF,Heel,Red,M,MainEvent,,,,,,,,
Jon Moxley,Face,Red,M,MainEvent,,,Blackpool Combat Club,,,,,
Chris Jericho,Heel,Red,M,Legend,,,Jericho Appreciation Society,,,,,
Daniel Garcia*,Heel,Red,M,MidCard,,,Jericho Appreciation Society,,,,,
Sammy Guevara,Heel,Red,M,MidCard,,,Jericho Appreciation Society,,,,,
Jungle Boy,Face,Red,M,MidCard,,,,,,,,
Wardlow,Face,Red,M,MidCard,,,,,,,,
Anna Jay,Heel,Red,F,MidCard,,,Jericho Appreciation Society,,,,,
Keith Lee,Face,Red,M,MidCard,,Swerve In Our Glory,,,,,,
Swerve Strickland,Heel,Red,M,MidCard,,Swerve In Our Glory,,,,,,
Kris Statlander,Heel,Red,F,MainEvent,,,Best Friends,,,,,
Orange Cassidy,Face,Red,M,MidCard,,,Best Friends,American All Star,,,,
Britt Baker,Heel,Red,F,MainEvent,,,The Originals,,,,,
Jamie Hayter,Heel,Red,F,MainEvent,,,The Originals,,,,,
Willow Nightingale,Face,Red,F,MidCard,,,,,,,,
Ruby Soho,Heel,Red,F,MainEvent,,,The Outcasts,,,,,
Saraya,Heel,Red,F,MainEvent,,,The Outcasts,,,,,
Toni Storm,Heel,Red,F,MainEvent,,,The Outcasts,,,,,
Claudio Castagnoli,Face,Red,M,MidCard,,,Blackpool Combat Club,,,,,
Bryan Danielson,Face,Red,M,MainEvent,,,Blackpool Combat Club,,,,,
Austin Gunn,Heel,Red,M,UpperMidCard,,The Gunn Club,,,,,,
Colten Gunn,Heel,Red,M,UpperMidCard,,The Gunn Club,,,,,,
Dax Harwood,Face,Red,M,MainEvent,,FTR,,,,,,
Cash Wheeler,Face,Red,M,MainEvent,,FTR,,,,,,
Eddie Kingston,Face,Red,M,MidCard,,,,,,,,
PAC,Face,Red,M,MainEvent,,,Death Triangle,TNT Championship,,,,
Rey Fenix,Heel,Red,M,MainEvent,,Lucha Brothers,Death Triangle,,,,,
Penta El Zero Miedo,Heel,Red,M,MainEvent,,Lucha Brothers,Death Triangle,,,,,
Evil Uno,Face,Red,M,MidCard,,Dark Order,Dark Order,,,,,
Stu Grayson,Face,Red,M,MidCard,,Dark Order,Dark Order,,,,,
John Silver*,Face,Red,M,MidCard,,Silver & Reynolds,Dark Order,,,,,
Alex Reynolds*,Face,Red,M,MidCard,,Silver & Reynolds,Dark Order,,,,,
Joey Janela*,Face,Red,M,MidCard,,,,,,,,
Nyla Rose*,Face,Red,F,MidCard,,,,,,,,
Hikaru Shida,Face,Red,F,MainEvent,,,The Originals,,,,,
